Symbol;Description;Digits;Spread;Swap Long;Swap Short;Swap Type;Stop Level;Lot Size;Lot Min;Lot Step;Tick Value;Tick Size;Trade Allowed;Pr. Mode
AUDCAD;AUSTRALIAN DOLLAR VS CANADIAN DOLLAR;5;32;-0.9;-8.19;points;160;100000;0.01;0.01;2.839511;1E-05;yes;Forex
AUDCHF;Australian Dollar vs Swiss Franc;5;36;2.21;-8.89;points;160;100000;0.01;0.01;3.871266;1E-05;yes;Forex
AUDJPY;Australian Dollar vs Japanise Yen;3;29;0.76;-8.44;points;99;100000;0.01;0.01;3.37014;0.001;yes;Forex
AUDNZD;Australian Dollar vs New Zealand Dollar;5;41;-4.82;-4.62;points;210;100000;0.01;0.01;2.742852;1E-05;yes;Forex
AUDUSD;Australian Dollar vs US Dollar;5;19;-1.07;-3.73;points;50;100000;0.01;0.01;3.75656;1E-05;yes;Forex
CADCHF;Canadian Dollar vs Swiss Franc;0;0;-0.14;-5.95;points;180;100000;0.01;0.01;0;1E-05;yes;Forex
CADJPY;Canadian Dollar vs Japanise Yen;3;32;-2.47;-4.97;points;100;100000;0.01;0.01;3.37014;0.001;yes;Forex
CHFJPY;Swiss Franc vs Japanise Yen;0;0;-7.32;-2.74;points;120;100000;0.01;0.01;0;0.001;yes;Forex
CHFSGD;Swiss Franc vs Singapore Dollar;0;0;-14.68;-2.28;points;280;100000;0.01;0.01;0;1E-05;yes;Forex
EURAUD;Euro vs Australian Dollar;5;38;-15.7;2.5;points;120;100000;0.01;0.01;2.850327;1E-05;yes;Forex
EURCAD;Euro vs Canadian Dollar;0;0;-10.12;-3.22;points;140;100000;0.01;0.01;0;1E-05;yes;Forex
EURCHF;Euro vs Swiss Franc;5;26;-2.23;-4.43;points;62;100000;0.01;0.01;3.871266;1E-05;yes;Forex
EURGBP;Euro vs Great Britan Pound;0;0;-4.13;-0.73;points;50;100000;0.01;0.01;0;1E-05;yes;Forex
EURHUF;Euro vs Hungarian Forint;0;0;-22.22;-15.42;points;600;100000;0.01;0.01;0;0.001;yes;Forex
EURJPY;Euro vs Japanise Yen;0;0;-5.48;-2.18;points;54;100000;0.01;0.01;0;0.001;yes;Forex
EURNOK;Euro vs Norwegian Krone;5;614;-85.69;-30.59;points;620;100000;0.01;0.01;0.443566;1E-05;yes;Forex
EURNZD;Euro vs New Zealand Dollar;0;0;-16.69;3.11;points;220;100000;0.01;0.01;0;1E-05;yes;Forex
EURPLN;Euro vs Polish Zloty;5;445;-50.33;-2.53;points;540;100000;0.01;0.01;1;1E-05;yes;Forex
EURSEK;Euro vs Swedish Krona;5;410;-52.04;-60.94;points;560;100000;0.01;0.01;0.431366;1E-05;yes;Forex
EURSGD;Euro vs Singapore Dollar;0;0;-15.98;-6.88;points;140;100000;0.01;0.01;0;1E-05;yes;Forex
EURTRY;Euro vs Turkish Lira;0;0;-167.56;96.74;points;300;100000;0.01;0.01;0;1E-05;yes;Forex
EURUSD;Euro vs US Dollar;5;18;-7.99;1.61;points;40;100000;0.01;0.01;3.75656;1E-05;yes;Forex
EURZAR;Euro vs South African Rand;0;0;-434.58;233.02;points;2580;100000;0.01;0.01;0;1E-05;yes;Forex
GBPAUD;Great Britan Pound vs Australian Dollar;0;0;-15.4;0.7;points;160;100000;0.01;0.01;0;1E-05;yes;Forex
GBPCAD;Great Britan Pound vs Canadian Dollar;5;50;-9.07;-5.57;points;200;100000;0.01;0.01;2.839511;1E-05;yes;Forex
GBPCHF;Great Britan Pound vs Swiss Franc;0;0;-0.29;-7.19;points;178;100000;0.01;0.01;0;1E-05;yes;Forex
GBPJPY;Great Britan Pound vs Japanise Yen;0;0;-3.59;-5.19;points;108;100000;0.01;0.01;0;0.001;yes;Forex
GBPNOK;Great Britan Pound vs Norwegian Krone;0;0;-72.65;-56.25;points;1460;100000;0.01;0.01;0;1E-05;yes;Forex
GBPNZD;Great Britan Pound vs New Zealand Dollar;0;0;-15.46;0.54;points;360;100000;0.01;0.01;0;1E-05;yes;Forex
GBPSEK;Great Britan Pound vs Swedish Krona;0;0;-38.56;-90.96;points;1400;100000;0.01;0.01;0;1E-05;yes;Forex
GBPSGD;Great Britan Pound vs Singapore Dollar;0;0;-12.04;-8.34;points;340;100000;0.01;0.01;0;1E-05;yes;Forex
GBPUSD;Great Britan Pound vs US Dollar;5;23;-6.75;-0.45;points;52;100000;0.01;0.01;3.75656;1E-05;yes;Forex
NZDCAD;New Zealand Dollar vs Canadian Dollar;0;0;-0.54;-8.04;points;180;100000;0.01;0.01;0;1E-05;yes;Forex
NZDCHF;New Zealand Dollar vs Swiss Franc;0;0;2.23;-8.57;points;200;100000;0.01;0.01;0;1E-05;yes;Forex
NZDJPY;New Zealand Dollar vs Japanise Yen;0;0;0.75;-8.05;points;140;100000;0.01;0.01;0;0.001;yes;Forex
NZDSGD;New Zealand Dollar vs Singapore Dollar;0;0;-2.32;-9.42;points;220;100000;0.01;0.01;0;1E-05;yes;Forex
NZDUSD;New Zealand Dollar vs US Dollar;5;25;-0.47;-4.07;points;80;100000;0.01;0.01;3.75656;1E-05;yes;Forex
SGDJPY;Singapore Dollar vs Japanise Yen;0;0;-4.32;-7.44;points;140;100000;0.01;0.01;0;0.001;yes;Forex
USDCAD;US Dollar vs Canadian Dollar;5;21;-1.43;-6.73;points;52;100000;0.01;0.01;2.839511;1E-05;yes;Forex
USDCHF;US Dollar vs Swiss Franc;5;20;2.81;-8.81;points;50;100000;0.01;0.01;3.871266;1E-05;yes;Forex
USDHUF;US Dollar vs Hungarian Forint;0;0;-9.76;-28.36;points;520;100000;0.01;0.01;0;0.001;yes;Forex
USDJPY;US Dollar vs Japanise Yen;3;16;-0.38;-6.78;points;40;100000;0.01;0.01;3.37014;0.001;yes;Forex
USDMXN;US Dollar vs Mexican Peso ;0;0;-485.26;112.78;points;1030;100000;0.01;0.01;0;1E-05;yes;Forex
